"fixture_id","date","homeTeam","awayTeam","gameweek","round_id"
"688f490cbd4cf1cc53c2d4c5","December 27, 2025 at 09:00 PM","Chelsea","Aston Villa",18,"688f48debd4cf1cc53c2d442"
"688f490ebd4cf1cc53c2d4c9","December 27, 2025 at 09:00 PM","Nottingham Forest","Manchester City",18,"688f48debd4cf1cc53c2d442"
"688f490ebd4cf1cc53c2d4ca","December 27, 2025 at 09:00 PM","Liverpool","Wolverhampton Wanderers",18,"688f48debd4cf1cc53c2d442"
"688f490ebd4cf1cc53c2d4cb","December 27, 2025 at 09:00 PM","Burnley","Everton",18,"688f48debd4cf1cc53c2d442"
"688f490fbd4cf1cc53c2d4cd","December 27, 2025 at 09:00 PM","Crystal Palace","Tottenham Hotspur",18,"688f48debd4cf1cc53c2d442"
"688f490fbd4cf1cc53c2d4ce","December 27, 2025 at 09:00 PM","Manchester United","Newcastle United",18,"688f48debd4cf1cc53c2d442"
"688f4910bd4cf1cc53c2d4d1","December 27, 2025 at 09:00 PM","West Ham United","Fulham",18,"688f48debd4cf1cc53c2d442"
"688f493cbd4cf1cc53c2d55a","December 27, 2025 at 09:00 PM","Arsenal","Brighton & Hove Albion",18,"688f48debd4cf1cc53c2d442"
"688f493dbd4cf1cc53c2d55b","December 27, 2025 at 09:00 PM","Sunderland","Leeds United",18,"688f48debd4cf1cc53c2d442"
"688f4941bd4cf1cc53c2d569","December 27, 2025 at 09:00 PM","Brentford","AFC Bournemouth",18,"688f48debd4cf1cc53c2d442"
