"fixture_id","date","homeTeam","awayTeam","gameweek","round_id"
"688f4930bd4cf1cc53c2d534","December 13, 2025 at 09:00 PM","Crystal Palace","Manchester City",16,"688f48debd4cf1cc53c2d458"
"688f493ebd4cf1cc53c2d560","December 13, 2025 at 09:00 PM","Brentford","Leeds United",16,"688f48debd4cf1cc53c2d458"
"688f493fbd4cf1cc53c2d561","December 13, 2025 at 09:00 PM","Arsenal","Wolverhampton Wanderers",16,"688f48debd4cf1cc53c2d458"
"688f493fbd4cf1cc53c2d562","December 13, 2025 at 09:00 PM","Chelsea","Everton",16,"688f48debd4cf1cc53c2d458"
"688f493fbd4cf1cc53c2d563","December 13, 2025 at 09:00 PM","Liverpool","Brighton & Hove Albion",16,"688f48debd4cf1cc53c2d458"
"688f4940bd4cf1cc53c2d564","December 13, 2025 at 09:00 PM","Burnley","Fulham",16,"688f48debd4cf1cc53c2d458"
"688f4940bd4cf1cc53c2d565","December 13, 2025 at 09:00 PM","Nottingham Forest","Tottenham Hotspur",16,"688f48debd4cf1cc53c2d458"
"688f4940bd4cf1cc53c2d566","December 13, 2025 at 09:00 PM","Manchester United","AFC Bournemouth",16,"688f48debd4cf1cc53c2d458"
"688f4941bd4cf1cc53c2d567","December 13, 2025 at 09:00 PM","Sunderland","Newcastle United",16,"688f48debd4cf1cc53c2d458"
"688f4941bd4cf1cc53c2d568","December 13, 2025 at 09:00 PM","West Ham United","Aston Villa",16,"688f48debd4cf1cc53c2d458"
