"fixture_id","date","homeTeam","awayTeam","gameweek","round_id"
"688f4942bd4cf1cc53c2d56d","April 18, 2026 at 08:00 PM","Chelsea","Manchester United",33,"688f48debd4cf1cc53c2d449"
"688f4943bd4cf1cc53c2d56e","April 18, 2026 at 08:00 PM","Brentford","Fulham",33,"688f48debd4cf1cc53c2d449"
"688f4943bd4cf1cc53c2d56f","April 18, 2026 at 08:00 PM","Manchester City","Arsenal",33,"688f48debd4cf1cc53c2d449"
"688f4943bd4cf1cc53c2d570","April 18, 2026 at 08:00 PM","Nottingham Forest","Burnley",33,"688f48debd4cf1cc53c2d449"
"688f4944bd4cf1cc53c2d571","April 18, 2026 at 08:00 PM","Newcastle United","AFC Bournemouth",33,"688f48debd4cf1cc53c2d449"
"688f4944bd4cf1cc53c2d572","April 18, 2026 at 08:00 PM","Aston Villa","Sunderland",33,"688f48debd4cf1cc53c2d449"
"688f4944bd4cf1cc53c2d573","April 18, 2026 at 08:00 PM","Crystal Palace","West Ham United",33,"688f48debd4cf1cc53c2d449"
"688f4945bd4cf1cc53c2d574","April 18, 2026 at 08:00 PM","Everton","Liverpool",33,"688f48debd4cf1cc53c2d449"
"688f4946bd4cf1cc53c2d577","April 18, 2026 at 08:00 PM","Tottenham Hotspur","Brighton & Hove Albion",33,"688f48debd4cf1cc53c2d449"
"688f4946bd4cf1cc53c2d579","April 18, 2026 at 08:00 PM","Leeds United","Wolverhampton Wanderers",33,"688f48debd4cf1cc53c2d449"
