"fixture_id","date","homeTeam","awayTeam","gameweek","round_id"
"688f4929bd4cf1cc53c2d51e","December 4, 2025 at 02:00 AM","Arsenal","Brentford",14,"688f48debd4cf1cc53c2d456"
"688f4935bd4cf1cc53c2d542","December 4, 2025 at 02:00 AM","AFC Bournemouth","Everton",14,"688f48debd4cf1cc53c2d456"
"688f4936bd4cf1cc53c2d547","December 4, 2025 at 02:00 AM","Brighton & Hove Albion","Aston Villa",14,"688f48debd4cf1cc53c2d456"
"688f4937bd4cf1cc53c2d548","December 4, 2025 at 02:00 AM","Leeds United","Chelsea",14,"688f48debd4cf1cc53c2d456"
"688f4937bd4cf1cc53c2d549","December 4, 2025 at 02:00 AM","Burnley","Crystal Palace",14,"688f48debd4cf1cc53c2d456"
"688f4937bd4cf1cc53c2d54a","December 4, 2025 at 02:00 AM","Fulham","Manchester City",14,"688f48debd4cf1cc53c2d456"
"688f4937bd4cf1cc53c2d54b","December 4, 2025 at 02:00 AM","Manchester United","West Ham United",14,"688f48debd4cf1cc53c2d456"
"688f4938bd4cf1cc53c2d54c","December 4, 2025 at 02:00 AM","Newcastle United","Tottenham Hotspur",14,"688f48debd4cf1cc53c2d456"
"688f4938bd4cf1cc53c2d54e","December 4, 2025 at 02:00 AM","Liverpool","Sunderland",14,"688f48debd4cf1cc53c2d456"
"688f493abd4cf1cc53c2d552","December 4, 2025 at 02:00 AM","Wolverhampton Wanderers","Nottingham Forest",14,"688f48debd4cf1cc53c2d456"
