"fixture_id","date","homeTeam","awayTeam","gameweek","round_id"
"688f48eebd4cf1cc53c2d47a","March 21, 2026 at 09:00 PM","Wolverhampton Wanderers","Arsenal",31,"688f48debd4cf1cc53c2d435"
"688f494cbd4cf1cc53c2d589","March 21, 2026 at 09:00 PM","Tottenham Hotspur","Nottingham Forest",31,"688f48debd4cf1cc53c2d435"
"688f4958bd4cf1cc53c2d5b1","March 21, 2026 at 09:00 PM","AFC Bournemouth","Manchester United",31,"688f48debd4cf1cc53c2d435"
"688f4959bd4cf1cc53c2d5b3","March 21, 2026 at 09:00 PM","Aston Villa","West Ham United",31,"688f48debd4cf1cc53c2d435"
"688f4959bd4cf1cc53c2d5b4","March 21, 2026 at 09:00 PM","Brighton & Hove Albion","Liverpool",31,"688f48debd4cf1cc53c2d435"
"688f495abd4cf1cc53c2d5b5","March 21, 2026 at 09:00 PM","Everton","Chelsea",31,"688f48debd4cf1cc53c2d435"
"688f495abd4cf1cc53c2d5b6","March 21, 2026 at 09:00 PM","Fulham","Burnley",31,"688f48debd4cf1cc53c2d435"
"688f495abd4cf1cc53c2d5b7","March 21, 2026 at 09:00 PM","Leeds United","Brentford",31,"688f48debd4cf1cc53c2d435"
"688f495bbd4cf1cc53c2d5b8","March 21, 2026 at 09:00 PM","Manchester City","Crystal Palace",31,"688f48debd4cf1cc53c2d435"
"688f495bbd4cf1cc53c2d5b9","March 21, 2026 at 09:00 PM","Newcastle United","Sunderland",31,"688f48debd4cf1cc53c2d435"
