"fixture_id","date","homeTeam","awayTeam","gameweek","round_id"
"688f4948bd4cf1cc53c2d57f","February 28, 2026 at 09:00 PM","Wolverhampton Wanderers","Aston Villa",28,"688f48debd4cf1cc53c2d455"
"688f494bbd4cf1cc53c2d586","February 28, 2026 at 09:00 PM","Burnley","Brentford",28,"688f48debd4cf1cc53c2d455"
"688f494bbd4cf1cc53c2d587","February 28, 2026 at 09:00 PM","Fulham","Tottenham Hotspur",28,"688f48debd4cf1cc53c2d455"
"688f494ebd4cf1cc53c2d592","February 28, 2026 at 09:00 PM","Arsenal","Chelsea",28,"688f48debd4cf1cc53c2d455"
"688f494fbd4cf1cc53c2d593","February 28, 2026 at 09:00 PM","Leeds United","Manchester City",28,"688f48debd4cf1cc53c2d455"
"688f4950bd4cf1cc53c2d598","February 28, 2026 at 09:00 PM","Brighton & Hove Albion","Nottingham Forest",28,"688f48debd4cf1cc53c2d455"
"688f4952bd4cf1cc53c2d59c","February 28, 2026 at 09:00 PM","AFC Bournemouth","Sunderland",28,"688f48debd4cf1cc53c2d455"
"688f4952bd4cf1cc53c2d59d","February 28, 2026 at 09:00 PM","Manchester United","Crystal Palace",28,"688f48debd4cf1cc53c2d455"
"688f4953bd4cf1cc53c2d59f","February 28, 2026 at 09:00 PM","Liverpool","West Ham United",28,"688f48debd4cf1cc53c2d455"
"688f4953bd4cf1cc53c2d5a0","February 28, 2026 at 09:00 PM","Newcastle United","Everton",28,"688f48debd4cf1cc53c2d455"
