"fixture_id","date","homeTeam","awayTeam","gameweek","round_id"
"688f48fdbd4cf1cc53c2d4a9","January 24, 2026 at 09:00 PM","Brentford","Nottingham Forest",23,"688f48debd4cf1cc53c2d43f"
"688f48febd4cf1cc53c2d4aa","January 24, 2026 at 09:00 PM","Burnley","Tottenham Hotspur",23,"688f48debd4cf1cc53c2d43f"
"688f4900bd4cf1cc53c2d4ab","January 24, 2026 at 09:00 PM","Crystal Palace","Chelsea",23,"688f48debd4cf1cc53c2d43f"
"688f4911bd4cf1cc53c2d4d2","January 24, 2026 at 09:00 PM","Everton","Leeds United",23,"688f48debd4cf1cc53c2d43f"
"688f4911bd4cf1cc53c2d4d4","January 24, 2026 at 09:00 PM","Fulham","Brighton & Hove Albion",23,"688f48debd4cf1cc53c2d43f"
"688f491bbd4cf1cc53c2d4f2","January 24, 2026 at 09:00 PM","AFC Bournemouth","Liverpool",23,"688f48debd4cf1cc53c2d43f"
"688f491dbd4cf1cc53c2d4f7","January 24, 2026 at 09:00 PM","Arsenal","Manchester United",23,"688f48debd4cf1cc53c2d43f"
"688f491dbd4cf1cc53c2d4f9","January 24, 2026 at 09:00 PM","Newcastle United","Aston Villa",23,"688f48debd4cf1cc53c2d43f"
"688f491ebd4cf1cc53c2d4fb","January 24, 2026 at 09:00 PM","West Ham United","Sunderland",23,"688f48debd4cf1cc53c2d43f"
"688f4948bd4cf1cc53c2d57d","January 24, 2026 at 09:00 PM","Manchester City","Wolverhampton Wanderers",23,"688f48debd4cf1cc53c2d43f"
