"fixture_id","date","homeTeam","awayTeam","gameweek","round_id"
"688f48eebd4cf1cc53c2d479","September 13, 2025 at 05:30 PM","Arsenal","Nottingham Forest",4,"688f48debd4cf1cc53c2d451"
"688f48efbd4cf1cc53c2d47d","September 13, 2025 at 08:00 PM","AFC Bournemouth","Brighton & Hove Albion",4,"688f48debd4cf1cc53c2d451"
"688f48f0bd4cf1cc53c2d481","September 13, 2025 at 08:00 PM","Crystal Palace","Sunderland",4,"688f48debd4cf1cc53c2d451"
"688f48f1bd4cf1cc53c2d482","September 13, 2025 at 08:00 PM","Everton","Aston Villa",4,"688f48debd4cf1cc53c2d451"
"688f48f2bd4cf1cc53c2d486","September 13, 2025 at 08:00 PM","Fulham","Leeds United",4,"688f48debd4cf1cc53c2d451"
"688f48f3bd4cf1cc53c2d48a","September 13, 2025 at 08:00 PM","Newcastle United","Wolverhampton Wanderers",4,"688f48debd4cf1cc53c2d451"
"688f48f4bd4cf1cc53c2d48c","September 13, 2025 at 10:30 PM","West Ham United","Tottenham Hotspur",4,"688f48debd4cf1cc53c2d451"
"688f48f0bd4cf1cc53c2d480","September 14, 2025 at 01:00 AM","Brentford","Chelsea",4,"688f48debd4cf1cc53c2d451"
"688f48f2bd4cf1cc53c2d485","September 14, 2025 at 07:00 PM","Burnley","Liverpool",4,"688f48debd4cf1cc53c2d451"
"688f48f3bd4cf1cc53c2d489","September 14, 2025 at 09:30 PM","Manchester City","Manchester United",4,"688f48debd4cf1cc53c2d451"
